Country,Indicator,Year,Estimated,Data
Gabon,Prevalence of underweight in children under five years  (%),1993-97,1,7.8
"Gambia, The",Prevalence of underweight in children under five years  (%),1993-97,,23.2
Georgia,Prevalence of underweight in children under five years  (%),1993-97,1,3.5
Ghana,Prevalence of underweight in children under five years  (%),1993-97,,25.1
Guatemala,Prevalence of underweight in children under five years  (%),1993-97,,21.7
Guinea,Prevalence of underweight in children under five years  (%),1993-97,,21.2
Guinea-Bissau,Prevalence of underweight in children under five years  (%),1993-97,1,19.4
Guyana,Prevalence of underweight in children under five years  (%),1993-97,,13.2
Haiti,Prevalence of underweight in children under five years  (%),1993-97,,24
Honduras,Prevalence of underweight in children under five years  (%),1993-97,,17.7
India,Prevalence of underweight in children under five years  (%),1993-97,,45.9
Indonesia,Prevalence of underweight in children under five years  (%),1993-97,,28.9
"Iran, Islamic Rep.",Prevalence of underweight in children under five years  (%),1993-97,,13.8
Iraq,Prevalence of underweight in children under five years  (%),1993-97,,
Jamaica,Prevalence of underweight in children under five years  (%),1993-97,,4
Jordan,Prevalence of underweight in children under five years  (%),1993-97,,3.8
Kazakhstan,Prevalence of underweight in children under five years  (%),1993-97,,6.7
Kenya,Prevalence of underweight in children under five years  (%),1993-97,,19.8
Kuwait,Prevalence of underweight in children under five years  (%),1993-97,,9.2
Kyrgyz Republic,Prevalence of underweight in children under five years  (%),1993-97,,8.2
Lao PDR,Prevalence of underweight in children under five years  (%),1993-97,,35.9
Latvia,Prevalence of underweight in children under five years  (%),1993-97,1,0.7
Lebanon,Prevalence of underweight in children under five years  (%),1993-97,,3.5
Lesotho,Prevalence of underweight in children under five years  (%),1993-97,,16.4
Liberia,Prevalence of underweight in children under five years  (%),1993-97,1,23.4
Libya,Prevalence of underweight in children under five years  (%),1993-97,,4.3
Lithuania,Prevalence of underweight in children under five years  (%),1993-97,1,1.1
"Macedonia, FYR",Prevalence of underweight in children under five years  (%),1993-97,1,2.5
Madagascar,Prevalence of underweight in children under five years  (%),1993-97,,30.4
Malawi,Prevalence of underweight in children under five years  (%),1993-97,,26.5
Malaysia,Prevalence of underweight in children under five years  (%),1993-97,,17.7
Mali,Prevalence of underweight in children under five years  (%),1993-97,,31
Mauritania,Prevalence of underweight in children under five years  (%),1993-97,1,25.9
Mauritius,Prevalence of underweight in children under five years  (%),1993-97,,13
Mexico,Prevalence of underweight in children under five years  (%),1993-97,,10.3
Moldova,Prevalence of underweight in children under five years  (%),1993-97,1,4.7
Mongolia,Prevalence of underweight in children under five years  (%),1993-97,1,13.8
Montenegro,Prevalence of underweight in children under five years  (%),1993-97,,
Morocco,Prevalence of underweight in children under five years  (%),1993-97,,7.7
Mozambique,Prevalence of underweight in children under five years  (%),1993-97,,23.9
Myanmar,Prevalence of underweight in children under five years  (%),1993-97,,38.7
Namibia,Prevalence of underweight in children under five years  (%),1993-97,1,21.6
Nepal,Prevalence of underweight in children under five years  (%),1993-97,,44.1
Nicaragua,Prevalence of underweight in children under five years  (%),1993-97,,9.6
Niger,Prevalence of underweight in children under five years  (%),1993-97,1,40.7
Nigeria,Prevalence of underweight in children under five years  (%),1993-97,,35.1
North Korea,Prevalence of underweight in children under five years  (%),1993-97,1,27.1
Oman,Prevalence of underweight in children under five years  (%),1993-97,,10
Pakistan,Prevalence of underweight in children under five years  (%),1993-97,,34.2
Panama,Prevalence of underweight in children under five years  (%),1993-97,,6.3
Papua New Guinea,Prevalence of underweight in children under five years  (%),1993-97,1,17.8
Paraguay,Prevalence of underweight in children under five years  (%),1993-97,1,2.9
Peru,Prevalence of underweight in children under five years  (%),1993-97,,5.7
Philippines,Prevalence of underweight in children under five years  (%),1993-97,,26.3
Qatar,Prevalence of underweight in children under five years  (%),1993-97,,4.8
Romania,Prevalence of underweight in children under five years  (%),1993-97,1,4.6
Russian Federation,Prevalence of underweight in children under five years  (%),1993-97,,2.6
Rwanda,Prevalence of underweight in children under five years  (%),1993-97,,24.2
Saudi Arabia,Prevalence of underweight in children under five years  (%),1993-97,,12.9
Senegal,Prevalence of underweight in children under five years  (%),1993-97,,19.6
Serbia,Prevalence of underweight in children under five years  (%),1993-97,,
Sierra Leone,Prevalence of underweight in children under five years  (%),1993-97,1,26.1
Slovak Republic,Prevalence of underweight in children under five years  (%),1993-97,1,1.3
Somalia,Prevalence of underweight in children under five years  (%),1993-97,,
South Africa,Prevalence of underweight in children under five years  (%),1993-97,,8
Sri Lanka,Prevalence of underweight in children under five years  (%),1993-97,,28.3
Sudan (former),Prevalence of underweight in children under five years  (%),1993-97,,31.8
Suriname,Prevalence of underweight in children under five years  (%),1993-97,1,9.8
Swaziland,Prevalence of underweight in children under five years  (%),1993-97,1,7.1
Syrian Arab Republic,Prevalence of underweight in children under five years  (%),1993-97,,11.3
Tajikistan,Prevalence of underweight in children under five years  (%),1993-97,1,18.4
Tanzania,Prevalence of underweight in children under five years  (%),1993-97,,26.9
Thailand,Prevalence of underweight in children under five years  (%),1993-97,,15.4
Timor-Leste,Prevalence of underweight in children under five years  (%),1993-97,,
Togo,Prevalence of underweight in children under five years  (%),1993-97,,16.7
Trinidad & Tobago,Prevalence of underweight in children under five years  (%),1993-97,1,7.6
Tunisia,Prevalence of underweight in children under five years  (%),1993-97,,8.1
Turkey,Prevalence of underweight in children under five years  (%),1993-97,,9
Turkmenistan,Prevalence of underweight in children under five years  (%),1993-97,1,12.4
Uganda,Prevalence of underweight in children under five years  (%),1993-97,,21.5
Ukraine,Prevalence of underweight in children under five years  (%),1993-97,1,2.1
Uruguay,Prevalence of underweight in children under five years  (%),1993-97,,3.9
Uzbekistan,Prevalence of underweight in children under five years  (%),1993-97,,15.3
"Venezuela, RB",Prevalence of underweight in children under five years  (%),1993-97,,4.1
Vietnam,Prevalence of underweight in children under five years  (%),1993-97,,40.6
"Yemen, Rep.",Prevalence of underweight in children under five years  (%),1993-97,,40.9
Zambia,Prevalence of underweight in children under five years  (%),1993-97,,19.6
Zimbabwe,Prevalence of underweight in children under five years  (%),1993-97,,11.7
Afghanistan,Prevalence of underweight in children under five years  (%),1998-02,1,31.3
Albania,Prevalence of underweight in children under five years  (%),1998-02,,17
Algeria,Prevalence of underweight in children under five years  (%),1998-02,,5.4
Angola,Prevalence of underweight in children under five years  (%),1998-02,,27.5
Argentina,Prevalence of underweight in children under five years  (%),1998-02,1,2.3
Armenia,Prevalence of underweight in children under five years  (%),1998-02,,2.6
Azerbaijan,Prevalence of underweight in children under five years  (%),1998-02,,14
Bahrain,Prevalence of underweight in children under five years  (%),1998-02,1,5.6
Bangladesh,Prevalence of underweight in children under five years  (%),1998-02,,45.3
Belarus,Prevalence of underweight in children under five years  (%),1998-02,1,1
Benin,Prevalence of underweight in children under five years  (%),1998-02,,21.5
Bhutan,Prevalence of underweight in children under five years  (%),1998-02,,14.1
Bolivia,Prevalence of underweight in children under five years  (%),1998-02,,5.9
Bosnia & Herzegovina,Prevalence of underweight in children under five years  (%),1998-02,,4.2
Botswana,Prevalence of underweight in children under five years  (%),1998-02,,10.7
Brazil,Prevalence of underweight in children under five years  (%),1998-02,1,3.6
Bulgaria,Prevalence of underweight in children under five years  (%),1998-02,1,2.3
Burkina Faso,Prevalence of underweight in children under five years  (%),1998-02,,33.7
Burundi,Prevalence of underweight in children under five years  (%),1998-02,,38.9
Cambodia,Prevalence of underweight in children under five years  (%),1998-02,,39.5
Cameroon,Prevalence of underweight in children under five years  (%),1998-02,,17.8
Central African Rep.,Prevalence of underweight in children under five years  (%),1998-02,,21.8
Chad,Prevalence of underweight in children under five years  (%),1998-02,,29.4
Chile,Prevalence of underweight in children under five years  (%),1998-02,,0.7
China,Prevalence of underweight in children under five years  (%),1998-02,,7.4
Colombia,Prevalence of underweight in children under five years  (%),1998-02,,4.9
Comoros,Prevalence of underweight in children under five years  (%),1998-02,,25
"Congo, Dem. Rep.",Prevalence of underweight in children under five years  (%),1998-02,,33.6
"Congo, Rep.",Prevalence of underweight in children under five years  (%),1998-02,1,17
Costa Rica,Prevalence of underweight in children under five years  (%),1998-02,1,1.6
Croatia,Prevalence of underweight in children under five years  (%),1998-02,1,0.5
Cuba,Prevalence of underweight in children under five years  (%),1998-02,,3.4
Côte d'Ivoire,Prevalence of underweight in children under five years  (%),1998-02,,18.2
Djibouti,Prevalence of underweight in children under five years  (%),1998-02,,25.4
Dominican Republic,Prevalence of underweight in children under five years  (%),1998-02,,3.5
Ecuador,Prevalence of underweight in children under five years  (%),1998-02,,12.5
"Egypt, Arab Rep.",Prevalence of underweight in children under five years  (%),1998-02,,9.8
El Salvador,Prevalence of underweight in children under five years  (%),1998-02,,9.6
Eritrea,Prevalence of underweight in children under five years  (%),1998-02,,34.5
Estonia,Prevalence of underweight in children under five years  (%),1998-02,1,1
Ethiopia,Prevalence of underweight in children under five years  (%),1998-02,,42
Fiji,Prevalence of underweight in children under five years  (%),1998-02,1,5.6
Gabon,Prevalence of underweight in children under five years  (%),1998-02,,8.8
"Gambia, The",Prevalence of underweight in children under five years  (%),1998-02,,15.4
Georgia,Prevalence of underweight in children under five years  (%),1998-02,,2.7
Ghana,Prevalence of underweight in children under five years  (%),1998-02,,20.3
Guatemala,Prevalence of underweight in children under five years  (%),1998-02,,19.6
Guinea,Prevalence of underweight in children under five years  (%),1998-02,,29.1
Guinea-Bissau,Prevalence of underweight in children under five years  (%),1998-02,,21.9
Guyana,Prevalence of underweight in children under five years  (%),1998-02,,11.9
Haiti,Prevalence of underweight in children under five years  (%),1998-02,,13.9
Honduras,Prevalence of underweight in children under five years  (%),1998-02,,12.5
India,Prevalence of underweight in children under five years  (%),1998-02,,44.4
Indonesia,Prevalence of underweight in children under five years  (%),1998-02,,23.3
"Iran, Islamic Rep.",Prevalence of underweight in children under five years  (%),1998-02,,9.5
Iraq,Prevalence of underweight in children under five years  (%),1998-02,,12.9
Jamaica,Prevalence of underweight in children under five years  (%),1998-02,,3.8
Jordan,Prevalence of underweight in children under five years  (%),1998-02,,3.6
Kazakhstan,Prevalence of underweight in children under five years  (%),1998-02,,3.8
Kenya,Prevalence of underweight in children under five years  (%),1998-02,,17.5
Kuwait,Prevalence of underweight in children under five years  (%),1998-02,,2.2
Kyrgyz Republic,Prevalence of underweight in children under five years  (%),1998-02,1,5.8
Lao PDR,Prevalence of underweight in children under five years  (%),1998-02,,36.4
Latvia,Prevalence of underweight in children under five years  (%),1998-02,1,1.2
Lebanon,Prevalence of underweight in children under five years  (%),1998-02,1,4
Lesotho,Prevalence of underweight in children under five years  (%),1998-02,,15
Liberia,Prevalence of underweight in children under five years  (%),1998-02,,22.8
Libya,Prevalence of underweight in children under five years  (%),1998-02,1,4.5
Lithuania,Prevalence of underweight in children under five years  (%),1998-02,1,0.8
"Macedonia, FYR",Prevalence of underweight in children under five years  (%),1998-02,,1.9
Madagascar,Prevalence of underweight in children under five years  (%),1998-02,1,35
Malawi,Prevalence of underweight in children under five years  (%),1998-02,,21.5
Malaysia,Prevalence of underweight in children under five years  (%),1998-02,,16.7
Mali,Prevalence of underweight in children under five years  (%),1998-02,,30.1
Mauritania,Prevalence of underweight in children under five years  (%),1998-02,,30.4
Mauritius,Prevalence of underweight in children under five years  (%),1998-02,1,11.2
Mexico,Prevalence of underweight in children under five years  (%),1998-02,,6
Moldova,Prevalence of underweight in children under five years  (%),1998-02,1,4.3
Mongolia,Prevalence of underweight in children under five years  (%),1998-02,,11.6
Montenegro,Prevalence of underweight in children under five years  (%),1998-02,,
Morocco,Prevalence of underweight in children under five years  (%),1998-02,1,7
Mozambique,Prevalence of underweight in children under five years  (%),1998-02,,23
Myanmar,Prevalence of underweight in children under five years  (%),1998-02,,30.1
Namibia,Prevalence of underweight in children under five years  (%),1998-02,,20.3
Nepal,Prevalence of underweight in children under five years  (%),1998-02,,43
Nicaragua,Prevalence of underweight in children under five years  (%),1998-02,,7.8
Niger,Prevalence of underweight in children under five years  (%),1998-02,,43.6
Nigeria,Prevalence of underweight in children under five years  (%),1998-02,,24.7
North Korea,Prevalence of underweight in children under five years  (%),1998-02,,24.7
Oman,Prevalence of underweight in children under five years  (%),1998-02,,11.3
Pakistan,Prevalence of underweight in children under five years  (%),1998-02,,31.3
Panama,Prevalence of underweight in children under five years  (%),1998-02,1,5.9
Papua New Guinea,Prevalence of underweight in children under five years  (%),1998-02,1,17.9
Paraguay,Prevalence of underweight in children under five years  (%),1998-02,1,2.9
Peru,Prevalence of underweight in children under five years  (%),1998-02,,5.2
Philippines,Prevalence of underweight in children under five years  (%),1998-02,,28.3
Qatar,Prevalence of underweight in children under five years  (%),1998-02,,
Romania,Prevalence of underweight in children under five years  (%),1998-02,,3.7
Russian Federation,Prevalence of underweight in children under five years  (%),1998-02,1,2.3
Rwanda,Prevalence of underweight in children under five years  (%),1998-02,,22.2
Saudi Arabia,Prevalence of underweight in children under five years  (%),1998-02,1,8.5
Senegal,Prevalence of underweight in children under five years  (%),1998-02,,20.3
Serbia,Prevalence of underweight in children under five years  (%),1998-02,,
Sierra Leone,Prevalence of underweight in children under five years  (%),1998-02,,24.7
Slovak Republic,Prevalence of underweight in children under five years  (%),1998-02,1,1.1
Somalia,Prevalence of underweight in children under five years  (%),1998-02,,22.8
South Africa,Prevalence of underweight in children under five years  (%),1998-02,,10.1
Sri Lanka,Prevalence of underweight in children under five years  (%),1998-02,,22.8
Sudan (former),Prevalence of underweight in children under five years  (%),1998-02,,38.4
Suriname,Prevalence of underweight in children under five years  (%),1998-02,,11.4
Swaziland,Prevalence of underweight in children under five years  (%),1998-02,,9.1
Syrian Arab Republic,Prevalence of underweight in children under five years  (%),1998-02,,6
Tajikistan,Prevalence of underweight in children under five years  (%),1998-02,1,17.5
Tanzania,Prevalence of underweight in children under five years  (%),1998-02,,25.3
Thailand,Prevalence of underweight in children under five years  (%),1998-02,1,9.1
Timor-Leste,Prevalence of underweight in children under five years  (%),1998-02,,40.6
Togo,Prevalence of underweight in children under five years  (%),1998-02,,23.2
Trinidad & Tobago,Prevalence of underweight in children under five years  (%),1998-02,,4.4
Tunisia,Prevalence of underweight in children under five years  (%),1998-02,,3.5
Turkey,Prevalence of underweight in children under five years  (%),1998-02,,7
Turkmenistan,Prevalence of underweight in children under five years  (%),1998-02,,10.5
Uganda,Prevalence of underweight in children under five years  (%),1998-02,,19
Ukraine,Prevalence of underweight in children under five years  (%),1998-02,,4.1
Uruguay,Prevalence of underweight in children under five years  (%),1998-02,,5.2
Uzbekistan,Prevalence of underweight in children under five years  (%),1998-02,,7.1
"Venezuela, RB",Prevalence of underweight in children under five years  (%),1998-02,,3.9
Vietnam,Prevalence of underweight in children under five years  (%),1998-02,,28.9
"Yemen, Rep.",Prevalence of underweight in children under five years  (%),1998-02,1,40.5
Zambia,Prevalence of underweight in children under five years  (%),1998-02,,19.6
Zimbabwe,Prevalence of underweight in children under five years  (%),1998-02,,11.5
Afghanistan,Prevalence of underweight in children under five years  (%),2003-07,,32.8
Albania,Prevalence of underweight in children under five years  (%),2003-07,,6.6
Algeria,Prevalence of underweight in children under five years  (%),2003-07,,3.7
Angola,Prevalence of underweight in children under five years  (%),2003-07,,15.1
Argentina,Prevalence of underweight in children under five years  (%),2003-07,,2.3
Armenia,Prevalence of underweight in children under five years  (%),2003-07,,4.2
Azerbaijan,Prevalence of underweight in children under five years  (%),2003-07,,8.4
Bahrain,Prevalence of underweight in children under five years  (%),2003-07,1,6.3
Bangladesh,Prevalence of underweight in children under five years  (%),2003-07,,39.2
Belarus,Prevalence of underweight in children under five years  (%),2003-07,,1.3
Benin,Prevalence of underweight in children under five years  (%),2003-07,,20.2
Bhutan,Prevalence of underweight in children under five years  (%),2003-07,1,14.6
Bolivia,Prevalence of underweight in children under five years  (%),2003-07,,5.9
Bosnia & Herzegovina,Prevalence of underweight in children under five years  (%),2003-07,,1.6
Botswana,Prevalence of underweight in children under five years  (%),2003-07,1,11.4
Brazil,Prevalence of underweight in children under five years  (%),2003-07,,3
Bulgaria,Prevalence of underweight in children under five years  (%),2003-07,,2.2
Burkina Faso,Prevalence of underweight in children under five years  (%),2003-07,,37.6
Burundi,Prevalence of underweight in children under five years  (%),2003-07,,35.2
Cambodia,Prevalence of underweight in children under five years  (%),2003-07,,28.4
Cameroon,Prevalence of underweight in children under five years  (%),2003-07,,15.9
Central African Rep.,Prevalence of underweight in children under five years  (%),2003-07,,28
Chad,Prevalence of underweight in children under five years  (%),2003-07,,33.9
Chile,Prevalence of underweight in children under five years  (%),2003-07,,0.6
China,Prevalence of underweight in children under five years  (%),2003-07,,4.5
Colombia,Prevalence of underweight in children under five years  (%),2003-07,,5.1
Comoros,Prevalence of underweight in children under five years  (%),2003-07,,22.1
"Congo, Dem. Rep.",Prevalence of underweight in children under five years  (%),2003-07,,28.2
"Congo, Rep.",Prevalence of underweight in children under five years  (%),2003-07,,11.8
Costa Rica,Prevalence of underweight in children under five years  (%),2003-07,1,1.3
Croatia,Prevalence of underweight in children under five years  (%),2003-07,1,0.3
Cuba,Prevalence of underweight in children under five years  (%),2003-07,,3.5
Côte d'Ivoire,Prevalence of underweight in children under five years  (%),2003-07,,16.7
Djibouti,Prevalence of underweight in children under five years  (%),2003-07,,29.6
Dominican Republic,Prevalence of underweight in children under five years  (%),2003-07,,4.6
Ecuador,Prevalence of underweight in children under five years  (%),2003-07,,6.2
"Egypt, Arab Rep.",Prevalence of underweight in children under five years  (%),2003-07,,5.4
El Salvador,Prevalence of underweight in children under five years  (%),2003-07,,6.1
Eritrea,Prevalence of underweight in children under five years  (%),2003-07,1,34.8
Estonia,Prevalence of underweight in children under five years  (%),2003-07,1,0.9
Ethiopia,Prevalence of underweight in children under five years  (%),2003-07,,34.6
Fiji,Prevalence of underweight in children under five years  (%),2003-07,1,4
Gabon,Prevalence of underweight in children under five years  (%),2003-07,1,7.2
"Gambia, The",Prevalence of underweight in children under five years  (%),2003-07,,15.8
Georgia,Prevalence of underweight in children under five years  (%),2003-07,,2.3
Ghana,Prevalence of underweight in children under five years  (%),2003-07,,13.9
Guatemala,Prevalence of underweight in children under five years  (%),2003-07,1,17.3
Guinea,Prevalence of underweight in children under five years  (%),2003-07,,22.5
Guinea-Bissau,Prevalence of underweight in children under five years  (%),2003-07,,17.4
Guyana,Prevalence of underweight in children under five years  (%),2003-07,,10.8
Haiti,Prevalence of underweight in children under five years  (%),2003-07,,18.9
Honduras,Prevalence of underweight in children under five years  (%),2003-07,,8.6
India,Prevalence of underweight in children under five years  (%),2003-07,,43.5
Indonesia,Prevalence of underweight in children under five years  (%),2003-07,,24.4
"Iran, Islamic Rep.",Prevalence of underweight in children under five years  (%),2003-07,,4.6
Iraq,Prevalence of underweight in children under five years  (%),2003-07,,7.6
Jamaica,Prevalence of underweight in children under five years  (%),2003-07,,3.4
Jordan,Prevalence of underweight in children under five years  (%),2003-07,1,1.9
Kazakhstan,Prevalence of underweight in children under five years  (%),2003-07,,4.9
Kenya,Prevalence of underweight in children under five years  (%),2003-07,,18.4
Kuwait,Prevalence of underweight in children under five years  (%),2003-07,,2.7
Kyrgyz Republic,Prevalence of underweight in children under five years  (%),2003-07,,2.7
Lao PDR,Prevalence of underweight in children under five years  (%),2003-07,,31.6
Latvia,Prevalence of underweight in children under five years  (%),2003-07,1,1
Lebanon,Prevalence of underweight in children under five years  (%),2003-07,,4.2
Lesotho,Prevalence of underweight in children under five years  (%),2003-07,,16.6
Liberia,Prevalence of underweight in children under five years  (%),2003-07,,20.4
Libya,Prevalence of underweight in children under five years  (%),2003-07,,5.6
Lithuania,Prevalence of underweight in children under five years  (%),2003-07,1,0.8
"Macedonia, FYR",Prevalence of underweight in children under five years  (%),2003-07,,1.8
Madagascar,Prevalence of underweight in children under five years  (%),2003-07,,36.8
Malawi,Prevalence of underweight in children under five years  (%),2003-07,,18.4
Malaysia,Prevalence of underweight in children under five years  (%),2003-07,,12.9
Mali,Prevalence of underweight in children under five years  (%),2003-07,,27.9
Mauritania,Prevalence of underweight in children under five years  (%),2003-07,,23.2
Mauritius,Prevalence of underweight in children under five years  (%),2003-07,1,10.1
Mexico,Prevalence of underweight in children under five years  (%),2003-07,,3.4
Moldova,Prevalence of underweight in children under five years  (%),2003-07,,3.2
Mongolia,Prevalence of underweight in children under five years  (%),2003-07,,5.3
Montenegro,Prevalence of underweight in children under five years  (%),2003-07,,
Morocco,Prevalence of underweight in children under five years  (%),2003-07,,9.9
Mozambique,Prevalence of underweight in children under five years  (%),2003-07,,21.2
Myanmar,Prevalence of underweight in children under five years  (%),2003-07,,29.6
Namibia,Prevalence of underweight in children under five years  (%),2003-07,,17.5
Nepal,Prevalence of underweight in children under five years  (%),2003-07,,38.8
Nicaragua,Prevalence of underweight in children under five years  (%),2003-07,,4.3
Niger,Prevalence of underweight in children under five years  (%),2003-07,,39.9
Nigeria,Prevalence of underweight in children under five years  (%),2003-07,,26.5
North Korea,Prevalence of underweight in children under five years  (%),2003-07,,20.6
Oman,Prevalence of underweight in children under five years  (%),2003-07,1,11.6
Pakistan,Prevalence of underweight in children under five years  (%),2003-07,1,32.4
Panama,Prevalence of underweight in children under five years  (%),2003-07,,5.1
Papua New Guinea,Prevalence of underweight in children under five years  (%),2003-07,,18
Paraguay,Prevalence of underweight in children under five years  (%),2003-07,,3.4
Peru,Prevalence of underweight in children under five years  (%),2003-07,,5.4
Philippines,Prevalence of underweight in children under five years  (%),2003-07,,20.7
Qatar,Prevalence of underweight in children under five years  (%),2003-07,1,0.9
Romania,Prevalence of underweight in children under five years  (%),2003-07,1,3
Russian Federation,Prevalence of underweight in children under five years  (%),2003-07,1,0.8
Rwanda,Prevalence of underweight in children under five years  (%),2003-07,,18
Saudi Arabia,Prevalence of underweight in children under five years  (%),2003-07,,5.3
Senegal,Prevalence of underweight in children under five years  (%),2003-07,,14.5
Serbia,Prevalence of underweight in children under five years  (%),2003-07,,
Sierra Leone,Prevalence of underweight in children under five years  (%),2003-07,,28.3
Slovak Republic,Prevalence of underweight in children under five years  (%),2003-07,1,1
Somalia,Prevalence of underweight in children under five years  (%),2003-07,,32.8
South Africa,Prevalence of underweight in children under five years  (%),2003-07,,11.6
Sri Lanka,Prevalence of underweight in children under five years  (%),2003-07,,21.1
Sudan (former),Prevalence of underweight in children under five years  (%),2003-07,,31.7
Suriname,Prevalence of underweight in children under five years  (%),2003-07,,7.5
Swaziland,Prevalence of underweight in children under five years  (%),2003-07,,6.1
Syrian Arab Republic,Prevalence of underweight in children under five years  (%),2003-07,,10
Tajikistan,Prevalence of underweight in children under five years  (%),2003-07,,14.9
Tanzania,Prevalence of underweight in children under five years  (%),2003-07,,16.7
Thailand,Prevalence of underweight in children under five years  (%),2003-07,,7
Timor-Leste,Prevalence of underweight in children under five years  (%),2003-07,,41.5
Togo,Prevalence of underweight in children under five years  (%),2003-07,,22.3
Trinidad & Tobago,Prevalence of underweight in children under five years  (%),2003-07,1,4.6
Tunisia,Prevalence of underweight in children under five years  (%),2003-07,,3.3
Turkey,Prevalence of underweight in children under five years  (%),2003-07,,3.5
Turkmenistan,Prevalence of underweight in children under five years  (%),2003-07,,8
Uganda,Prevalence of underweight in children under five years  (%),2003-07,,16.4
Ukraine,Prevalence of underweight in children under five years  (%),2003-07,1,0.8
Uruguay,Prevalence of underweight in children under five years  (%),2003-07,,6
Uzbekistan,Prevalence of underweight in children under five years  (%),2003-07,,4.4
"Venezuela, RB",Prevalence of underweight in children under five years  (%),2003-07,,4.1
Vietnam,Prevalence of underweight in children under five years  (%),2003-07,,22.7
"Yemen, Rep.",Prevalence of underweight in children under five years  (%),2003-07,,43.1
Zambia,Prevalence of underweight in children under five years  (%),2003-07,,14.9
Zimbabwe,Prevalence of underweight in children under five years  (%),2003-07,,14
Afghanistan,Prevalence of underweight in children under five years  (%),2008-12,,25
Albania,Prevalence of underweight in children under five years  (%),2008-12,,6.3
Algeria,Prevalence of underweight in children under five years  (%),2008-12,1,5.7
Angola,Prevalence of underweight in children under five years  (%),2008-12,1,14.1
Argentina,Prevalence of underweight in children under five years  (%),2008-12,1,1.8
Armenia,Prevalence of underweight in children under five years  (%),2008-12,,5.3
Azerbaijan,Prevalence of underweight in children under five years  (%),2008-12,1,3.3
Bahrain,Prevalence of underweight in children under five years  (%),2008-12,1,6.6
Bangladesh,Prevalence of underweight in children under five years  (%),2008-12,,36.8
Belarus,Prevalence of underweight in children under five years  (%),2008-12,1,0.9
Benin,Prevalence of underweight in children under five years  (%),2008-12,1,21.2
Bhutan,Prevalence of underweight in children under five years  (%),2008-12,,12.8
Bolivia,Prevalence of underweight in children under five years  (%),2008-12,,4.5
Bosnia & Herzegovina,Prevalence of underweight in children under five years  (%),2008-12,,1.6
Botswana,Prevalence of underweight in children under five years  (%),2008-12,,11.2
Brazil,Prevalence of underweight in children under five years  (%),2008-12,1,3
Bulgaria,Prevalence of underweight in children under five years  (%),2008-12,1,1.6
Burkina Faso,Prevalence of underweight in children under five years  (%),2008-12,,26.2
Burundi,Prevalence of underweight in children under five years  (%),2008-12,,29.1
Cambodia,Prevalence of underweight in children under five years  (%),2008-12,,29
Cameroon,Prevalence of underweight in children under five years  (%),2008-12,,15.1
Central African Rep.,Prevalence of underweight in children under five years  (%),2008-12,,23.5
Chad,Prevalence of underweight in children under five years  (%),2008-12,,30.3
Chile,Prevalence of underweight in children under five years  (%),2008-12,,0.5
China,Prevalence of underweight in children under five years  (%),2008-12,,3.4
Colombia,Prevalence of underweight in children under five years  (%),2008-12,,3.4
Comoros,Prevalence of underweight in children under five years  (%),2008-12,1,22.8
"Congo, Dem. Rep.",Prevalence of underweight in children under five years  (%),2008-12,,24.2
"Congo, Rep.",Prevalence of underweight in children under five years  (%),2008-12,1,14.1
Costa Rica,Prevalence of underweight in children under five years  (%),2008-12,,1.1
Croatia,Prevalence of underweight in children under five years  (%),2008-12,1,0.3
Cuba,Prevalence of underweight in children under five years  (%),2008-12,1,3.3
Côte d'Ivoire,Prevalence of underweight in children under five years  (%),2008-12,,15.4
Djibouti,Prevalence of underweight in children under five years  (%),2008-12,,29.8
Dominican Republic,Prevalence of underweight in children under five years  (%),2008-12,1,3.1
Ecuador,Prevalence of underweight in children under five years  (%),2008-12,1,5
"Egypt, Arab Rep.",Prevalence of underweight in children under five years  (%),2008-12,,6.8
El Salvador,Prevalence of underweight in children under five years  (%),2008-12,,6.6
Eritrea,Prevalence of underweight in children under five years  (%),2008-12,1,32.8
Estonia,Prevalence of underweight in children under five years  (%),2008-12,1,2.3
Ethiopia,Prevalence of underweight in children under five years  (%),2008-12,,29.2
Fiji,Prevalence of underweight in children under five years  (%),2008-12,1,5.8
Gabon,Prevalence of underweight in children under five years  (%),2008-12,1,8.6
"Gambia, The",Prevalence of underweight in children under five years  (%),2008-12,,17.4
Georgia,Prevalence of underweight in children under five years  (%),2008-12,,1.1
Ghana,Prevalence of underweight in children under five years  (%),2008-12,,13.4
Guatemala,Prevalence of underweight in children under five years  (%),2008-12,,13
Guinea,Prevalence of underweight in children under five years  (%),2008-12,,20.8
Guinea-Bissau,Prevalence of underweight in children under five years  (%),2008-12,,18.1
Guyana,Prevalence of underweight in children under five years  (%),2008-12,,11.1
Haiti,Prevalence of underweight in children under five years  (%),2008-12,1,18.4
Honduras,Prevalence of underweight in children under five years  (%),2008-12,1,12.1
India,Prevalence of underweight in children under five years  (%),2008-12,1,40.2
Indonesia,Prevalence of underweight in children under five years  (%),2008-12,,18.6
"Iran, Islamic Rep.",Prevalence of underweight in children under five years  (%),2008-12,1,4.1
Iraq,Prevalence of underweight in children under five years  (%),2008-12,,8.5
Jamaica,Prevalence of underweight in children under five years  (%),2008-12,,3.2
Jordan,Prevalence of underweight in children under five years  (%),2008-12,,1.9
Kazakhstan,Prevalence of underweight in children under five years  (%),2008-12,,3.7
Kenya,Prevalence of underweight in children under five years  (%),2008-12,,16.4
